Sentence_Preprocessed,Emotion
feeling hell casual favorite blue red heavy color casual table otherwise could see tournament deck red popular possibly blue step place one zendikar block rotates,joy
think valid complaint arent willing deal aspect imagine rather subjective make sure cover based moment still feel dangerous despite cover,anger
feel like must popular choice alteration done elsewhere,joy
feel bothered,anger
noticed go start feel irritated easily annoyed thing feel tiny ache inside almost unnoticeable first day tiny hair burrowed way foot,anger
said without emotion feeling freaked fearful anxiety welling chest,fear
understand extremely positive attribute overshadowed weakness subconsciously people wired feel superior others thereby treat differently,joy
find hard feel relaxed hour,joy
feeling grumpy sore,anger
make assumption based see think feel wondered strange thing,fear
feel motivation satisfied read write also understands,joy
walk door house feel happy,joy
feel terrified customer maze,fear
found email scott dale reading frusterated much feel need post show world neurotic freak,fear
neglecting feeling people around stubborn,anger
sneakily listen x ma music since beginning october feel little socially acceptable prance around eartha kitt version santa baby blare ipod,joy
feel terrified nervous normally would type situation,fear
typically respond feel offended,anger
wearing feeling confident,joy
feel like fearful first threw leg top tube surgery,fear
feel unprotected though,fear
im feeling artistic today,joy
confess feeling bit nervous though talented people group,fear
managed eat usually race morning mostly jon didnt feel quite nervous,fear
never read post never would spent emotional mental energy argue head feel irritated,anger
feel pressured time succumb fear insecurity thankfully still able hold,fear
feel strength determined motivated workout room,joy
im feeling doubtful writing dream know shes behind,fear
feel enraged want punch year old,anger
get actually feel like everyone buy smell amazing,joy
think sooner better well feel greg im already distressed mood mom,fear
im excited feeling kind shy smile,fear
wear feel anxious visable spotlighted different unfashionable stupid embarrassed ashamed paranoid,fear
feel like im back arm beloved last seen long time ago,joy
feel satisfied happy choice today,joy
walked away feeling inspired excited realistic thing could increase blog chance found,joy
feeling confused life want know life,fear
looked around disappointed little shown evening apparently day feel selfish,anger
feeling said impatient,anger
feel reluctant blog free period even hp plugged laptop charging making easy upload photo online,fear
always notice even though fabulous hiding according rest world feel keenly greatly distressed,fear
got stitch side first mile couldnt feel foot cold etc etc,anger
feel uncomfortable need sit bad presentation,fear
feel option violent probably costly yet equally futile whats problem keeping men woman harm way,anger
ive collected feel vital create something precious item tribute earth power generosity,joy
feel though fucked majorly summer im cast alternate universe went wrong way timeline im stuck world one knew one way,anger
friend helping dress practise thai introduction session sat feeling helpless,fear
feel helpless stop,fear
im feeling disgusted already seriously though dont really like picture taken cause ive always referred ugly,anger
feel angered though,anger
feeling virtuous today,joy
feel good inside see people walking away handmade piece,joy
went see pcm post follow appointment left feeling hopeful optimistic,joy
wish girl asked prom accepted invitation way couldve heartbroken done feeling im indecisive,fear
im still feeling wimpy may another skip around,fear
didnt feel safe room argument going room thing getting rough,joy
im feeling pissed picking toy,anger
im feeling goddamn pissed,anger
hopped scale morning feeling none optimistic,joy
appreciate award feel many wonderful blog winner,joy
want feel shy want fun,fear
left movie feeling frightened least convinced number held kind mystical power key government conspiracy,fear
always feel always understand people hateful harmful towards hurting taught wrongly hurt want go back undo pain childhood bigotry bind life path,anger
feeling extremely pleased decide give guy another rupee,joy
feel tortured every moment there nowhere go get away get back used,anger
im feeling brave would nice black tip,joy
know think way always feel skeptical painting nail red since also light skin red really going stand cute way year old wear red nail without looking like trying hard looking like hooker,fear
ward epileptic patient burnt whole body stinking much whole ward affected people could come near,anger
grown accustomed creative freedom living dance around house write song play guitar without feeling inhibited eye ear others,fear
extremely positive feeling divine energy alone take quaking boat shore,joy
feel long run hurt paulie could visibly see distraught result perception performance,fear
also wouldnt mind canon mark iii anyone feeling generous,joy
wonder genentech feel hostile takeover global partner,anger
feel run sarah mind supporting body,joy
feel truly impatient taking long,anger
feel really greedy wanting stuff mom asked make list,anger
feel popular dont want taught wont get married get baptized cant obviously,joy
dont hate honestly feel bitter towards atm,anger
particularly much say work well particularly feel like something clever new,joy
sometimes feel hated head,anger
feeling pretty anxious overwhelmed friend rightly noted probably boat mom grandmother great aunt flee except damn cold baltic sea,fear
feel like need cute picture share,joy
wake feeling triumphant,joy
find hard feel jolly throng people around lost fervor getting stuff cant see heart green wallet encouraged constant barrage pressure every angle shop buy,joy
left feeling confused blah,fear
got feeling look eye sincere,joy
think lonely feel im grouchy agitated esily airritated,anger
ive decided intentionally make easier even though make feel wimpy admitting reason girl work day job,fear
im watching movie called sharknado feel like intelligence insulted,anger
feeling apprehensive move worried blown money meant pay rego,fear
still feel like get walked well trying,joy
told continue way starting feel frustrated let know calm way,anger
felt like boy disadvantaged missing exciting entertainment home child feel like precious opportunity get close familiar nature,joy
capable late ive feeling pretty bitter depressed lot gratitude general,anger
feel joy excitement opportunity receive vital ordinance,joy
worry time ive spending computer feel distracted party,anger
feel like cant brave,joy
wish could call wedding feel carefree,joy
didnt feel scared,fear
feel really contented listening song,joy
dont know like feel bitchy flirty,anger
ive urgent feeling write tell file make feel felt hesitant fear lead,fear
started develop feeling scared freaked promised safe,fear
guess avoiding boundary conversation feeling little unsure confidence strength,fear
im damn tired feel little grouchy,anger
feeling quite something im sure,joy
feel rude feel free grab seat next,anger
im contemplating feeling skeptical,fear
feel irritated useless hopeless,anger
feel bothered getting credit equal getting debt interest,anger
hurt feeling angered last rant im sorry,anger
feeling angry feeling self conscious short wishing wasnt alone,anger
feel petty thing extent human seem feel war started stupid little thing try might understand thing loving two people feeling jealous lead murder unhappiness,anger
feeling pretty cranky morning stopping really made feel lot better,anger
yesterday feeling uncomfortable highschool sigh,fear
feel better menu tonight,joy
feel hesitant say anything positive trying hold breath speak none really matter know shaun passed dlpt,fear
feel stressed would watch movie alone walk street alone,anger
slough carapace crud enveloped past thirty odd hour feel invigorated finally ready face day,joy
discovered gave great feeling satisfaction produce blog post delicious dish photo written recipe tangible job completed feeling rare life stay home mom,joy
feel lot pressure determined finish visit sister may clear conscience,joy
feel getting agitated something insignificant feeling bored going remember quote,anger
feel bitchy guess,anger
much regret allowed johann accompany khartoum feel convinced never rally present descara,joy
feel convinced many factor culture kind cooking mystique,joy
im feeling angry kind sad tired bored today,anger
im feeling much festive tree,joy
feel like creative professional need unpressed creative outlet get inspired,joy
feel distressed supportive campaign senator jackson told cnn,fear
feel like obnoxious posting every three second,anger
girl entered division work greeted everybody,anger
started feel apprehensive,fear
feel afraid stop shoulding,fear
im feeling bitter towards god,anger
im teenager people feel need make sarcastic bitchy comment kindly fuck,anger
hate seeing red window even feel inside resonates cold uncaring world know exists behind making even aware pain inside,anger
understand feeling uncertain abc link,fear
came china feeling little frightened everything around,fear
tired hearing unique communication special feeling sincere,joy
get feeling nellie satisfied phone rang happy leslie room,joy
feel weird seldom people eat,fear
feeling fearful,fear
slow bit stay partly feeling like start win give partly afraid push kill trying stay,fear
feel bitchy today today realized couldnt count friend anymore,anger
feel foundation faith shaken core,fear
feel ending bit rushed wonder might missed certain sign small thing story happens addictive dont notice time passing,anger
feel like edge got point bothered win hell whether fight even end,anger
feel crazily indecisive impulsive,fear
feel overwhelmed think country suffering,fear
feel heartless sometimes ability mourn lost someone relating past grandparent,anger
feel really free feel grow wing amp fly,joy
couldnt help feel infuriated left building,anger
feel kind heartless,anger
feel stubborn strong ready fight disease,anger
also feeling really pleased decided well cajoled bullied ordered go running evening,joy
im sure feeling slightly wronged police sheriff tsa always bad thing,anger
feeling especially lively,joy
need mention difference feeling vulnerable difference bit fear someway something wrong,fear
im already feeling le agitated,anger
want feel energetic bit exercise every day minute feel awake energized focused,joy
feel like greedy person liking two people,anger
feel offended think justly,anger
im thinking feeling extremely cold yesterday brewing something actual weather,anger
im expressive feel distraught,fear
feeling smell going pleasant,joy
control issue though really kick badly feel unprotected dont trust safety net,fear
cant let feeling one blink im heartless person like give lot change give lot change come change decision give lot change find threw like crap,anger
feel despised feel world crumbling onto,anger
feel bore restless,fear
feel frustrated anymore fierce u medium campaign egypt attack u know right track,anger
need manage spending money wisely im feeling uncertain stressed late,fear
sadness,anger
feel uncomfortable word hero,fear
feel far distracted actually write anything substance,anger
feel wonderful im tipping backwards im ambitious im looking back im running race youre book read feel finger touch arm im spinning around feel alright book read eye,joy
heard somehow brings good feeling strange,fear
started explaining biggest problem bottling feeling dumping problem onto one person selfish search happiness felt everyone around found happiness,anger
ive somewhat difficult time trying find something feel thankful,joy
feel like people like arent getting caught therefore government play catch criminal petty crime make look better,anger
call someone feel like need least talk minute rude,anger
think also feeling restless,fear
asked join creating world year old girl could grow feeling hopeful powerful,joy
feel strange thankful awful thing side ocean surround country happen daily basis,fear
knew needed get dragging foot combo feeling intimidated language barrier kid nap schedule,fear
im told horsey people rare find feel quite lucky,joy
feel study find indeed perfect example christian especially latter day saint,joy
feeling rebellious ate,anger
feel uncertain motif feel inbalance committment process counselling reconciliation,fear
still feeling weird day,fear
feel like opportunity become smart embrace knowledge really learn everything daydreamed learning,joy
feel useful serf reminder ive come long way since first day vertigo,joy
could feel blood vein go cold,anger
started feel super emotional time strange,joy
im feeling pretty rebellious right im writing engineering class,anger
used feel would hated whatever kept quiet god,anger
feel life threatened illness lose mind,fear
really hoping theyd get far enough ahead u could feel like navigating delighted punching second control headed onto trail wood,joy
feel frustrated cant tell,anger
wanted say something bad vibe feeling hostile didnt think good night,anger
feel eye many turn away disgusted self indulgence audacity british woman admit point failure,anger
feel incredibly charmed people life exciting amazing chapter thing,joy
feel jealous everyone chance meet everyday,anger
brought privately couple week ago felt targeted feeling frustrated belittled,anger
feel honoured client walk door sometimes first time trust brand new one week old bundle joy,joy
im sure great film guess wasnt feeling appreciative long day,joy
feel suspicious innanimate object though house actually set play movie kind model come carpet looking like,fear
feel hesitant putting word page feeling like every time hit key tempting fate take away,fear
watched snow fall accumulate conifer tree shoveling shirt sleeve feeling vigorous,joy
feel could successful outcome explored new style kept close remained,joy
feel glad still teach home,joy
im feeling overwhelmed give people middle finger tell f,fear
ive feeling satisfied performance car,joy
tend lose feel water pretty quickly im water every day felt race,joy
flatmate asking question relationship boyfriend,anger
feel honoured chosen share,joy
feel tat u world clever depending u born u born errrr good still would good thing u u dun realise lol noe quite lame hope one read img src http shared,joy
wonder cast caveman told perfect part feel insulted complimented,anger
feel high ecstatic normal feel like thousand mile drop unhappy excruciating,joy
feeling festive right lovely wintry scene walked dog day href http,joy
ive worked plenty yet find one leaf feeling satisfied way ive spent another day never get back,joy
know feeling sarcastic tonight christian seems enjoy banter every time seth apologizes behavior christian tell quite alright lock eye,anger
find feeling agitated kid playing ask play way little,fear
im feeling excited eager,joy
issue obvious went chinese yesterday feeling hostile towards,anger
find never stop feeling excited company future,joy
sat dave atell first trying feel rude guy eating,anger
im good hiding true feeling blurting sarcastic tone,anger
ive feeling really energetic night honestly needed,joy
feel beginning cold figured deserve heinously hot bath,anger
im inclined believe im simply lazy feel particularly greedy,anger
feel almost angry fed like lab rat many year,anger
couldnt feel thing however kind bothered didnt feel pop,anger
feel insecure time,fear
said feeling strange uttering word space flight still pretty novel way traveling time,fear
actually feel insulted plot go tangent like,anger
arrived gym ball sunshine made feel welcomed gym although felt like dorky unfit rotund sloth fit environment buffed fit looking fierce looking bloke,joy
feel impatient stop body giving positive response,anger
lot uncaring men life still feel strange several call come reach weakest moment,fear
risk feeling vulnerable feeling everyone staring examining every little dimple thigh sag arm,fear
also feel extremely blessed marrying loving family,joy
friend sometime feel insulted around,anger
ive also discovered feel le agitated caffeine craving coping method unnecessary huge,fear
discus even feeling beloved anyone,joy
feel like dissatisfied thing think dissatisfied much changing still feel bad time,anger
feel super glued bed,joy
must say initial splash bad stroke could feel cold getting bone,anger
woke today feeling pissed,anger
went feeling little hostile felt like didnt really care,anger
feel distressed dont know though,fear
ive feeling anxious nauseous tired also elated night crawl bed,fear
experience normal mood feel annoyed year old whine baby want held im making dinner longer feel consumed emotion,anger
get feeling rest yall little appalled,anger
feel hated useless sometimes even ask havent killed yet,anger
feel extremely insulted,anger
drove home aware feeling like called ask ok,joy
conveniently uninformed specific situation left feeling helpless wanting ever get away,fear
feeling quite pleased something id never done,joy
feel mistake rude,anger
ive played fps game time ive left feeling like mentally emotionally dangerous thing switch important part brain play,anger
feel learning purpose working universe continue evolve transcend productive along journey,joy
continued way despite feeling bit strange flexy new shoe sweat soaked back,fear
find feeling anxious seeing everyone else feeling part peer stagnate,fear
help feel bit anxious delivery go hopefully another vbac go planned,fear
feeling security character want someone else get role afraid well,fear
go back hostel break feel anxious get back see take,fear
also love seeing star emerge feel like year everyone gon na know one people say obnoxious thing like bah,anger
feeling bit adventurous put red lipstick rouge artist intense make ever,joy
thing feeling afraid express stand believe,fear
also feel little selfish get excited hitting friend friend make feel victorious choice,anger
want passed away feeling good brother grandparent,joy
spent much morning feeling like impostor visitor someone el life uncertain anything next,fear
feel petty saying shes fucked technically doesnt get gift,anger
feel see always possibility someone might laugh feel disgusted easier express feeling story boyfriend,anger
never feel brave want believe order brave make conscious choice whether want brave,joy
im feeling bit apprehensive dont know little note card stand mass talent etsy,fear
feel like ya allah im scared puff fun man id idea,fear
feel like leaf artistic equivalent crack couch cushion,joy
start feeling anxious,fear
probably lazy lounge around house possibly go pool depends im feeling bothered last day go back work yeah,anger
know tenge get almost anywhere feeling impatient offer,anger
overhear victory tune geek ringtone feel triumphant,joy
dont even know express made feel kid appreciative fact coming heavy think maybe music gave little something grasp,joy
ended changing clothes laying bed eye closed next hour eventually started feel better,joy
feel like people appreciative many happiness pinnacle way non materialistic,joy
feeling fault wronged caused abandon,anger
remember feeling innocent looked day,joy
find im barely breathing feel little frantic,fear
feel afraid,fear
im happy report didnt feel angered urge smack olivia today way ive felt,anger
done music movie production last four year feel time fashion im passionate,joy
feel like distracted robot,anger
feel worthwhile document people familiar batch file,joy
feel grounded le fearful,fear
even sure formulate thought since put feeling slightly overwhelmed,fear
feel determined smash round really give something proud,joy
feel like really grouchy day get mood feel like world,anger
im hesitant make suggestion feel outcome would sincere,joy
im really feeling good,joy
head relates workplace irritable someone tiny bit lower status response someone higher making feel momentarily pressured,fear
began feel afraid disappointment tour rain fog continued,fear
felt kind ick figured nerve feeling anxious,fear
feeling resentful id given boring assignment,anger
im feeling bitchy saturday,anger
may attempt hair coloring session later feeling brave crazy saturday night,joy
working hard shake feeling popular genre novel non literary fiction make book le legitimate le something read enjoy analyze,joy
say however awfully difficult feel glamorous sensational heat ash stench greasy hair basic post yeast infection mode,joy
drive home feel like petty thief stolen exposure crudely stuck camera ancient,anger
im mad upset day feel scared,fear
went back work feeling agitated lazy transformed state yelled dont know,anger
wish could say fuck people make feel insecure ever existed,fear
thought hope vanquished england failure watching feeling envious determined everything improve maybe one day something similar die,anger
might go get car wash feeling really generous car need,joy
feeling apprehensive life student felt like couldnt succeed wouldnt succeed could never succeed,fear
feel longer thing look cool,joy
somehow feel hesitant,fear
feel really irritable everything drive insane,anger
feeling well grouchy lazy ill sometimes forego bed favor futon couch little shut eye,joy
feel le bitchy morning,anger
feel like got resentful tired wanted talk badly,anger
relative car going slowly frozen road,fear
forgive accepting allowing feel uncertain application within reveal feel uncertain within,fear
aware concerned everyone give attention marriage death also equal seriousness elderly woman feel helpless know oven buy,fear
car accident car total wipe wipe,fear
feel point equally important,joy
feel getting timid day,fear
im feeling agitated usual evening mood becoming norm,fear
could feel warmth strange stillness comforted,fear
time feel bit strange mom ushering though shes traumatic brain injury really toll mental physical capacity,fear
spring fling feeling like flower unfurling artistic soul ready sunshine,joy
feel acceptable put forth little effort today post,joy
feel like ive sooo distracted need regain focus,anger
hurt feel suspicious definitely get angry,fear
must confess im feeling little overwhelmed,fear
feel left hated extra,anger
feel im fine without,joy
feel like paranoid annoyance reality wouldve talked anyone way,fear
also feel rude see family doctor approach together ailment,anger
feel rediculous petty yet justified,anger
flung suitcase last minute break crossing explode pressurized cabin thus far feeling pretty splendid thing,joy
feel furious pathetic furious various reason,anger
im feeling kinda shaky mind full doubt good luck love,fear
sometimes feel vulnerable,fear
would feel lucky call material kit site mine beautifully curated,joy
okay feeling annoyed life time,anger
empathize feeling dissatisfied want dont feel way,anger
feeling hostile enough even hate jim right,anger
im feeling pissed sad right,anger
wasnt sure could concerned people around feeling incredibly apprehensive turning back may well dancing cliff face,fear
love running feel strong powerful totally control,joy
alternated wishing would die feeling terrified something would happen leaving newborn son without mother,fear
feeling conflicted whether follower christ celebrate ever popular pagan originated modern day holiday,joy
like feeling unsure uncertain,fear
lose interest reading story feel like tension resolved happen time yet kept wanting read,joy
stare feel utterly helpless,fear
feel selfish thinking way feel lonely time,anger
feel happy enjoying change life looking forward unknown good time yet come autumn winter suddenly new step journey,joy
havent measuring food drinking nearly enough water tracking fitness overall feel completely shaken unfocused dont feel like foundation steady moment,fear
admit past ive done lot time scoffing feeling superior christian,joy
feel strategy worthwhile,joy
feel benefited last year creative future could part information learnt last year already putting practice therefore year session already rather inspiring start,joy
feel opportunity return moz god gracious gracious way giving heat desire despite self doubt uncertainty past,joy
feeling need consolidate step back evaluate purpose blog providing fabulous vicarious life yall live sarcasm always come across print,joy
feel like part race stressed,anger
ive feeling disgusted ashamed,anger
mean sensation experience influence mood simply pointing say discomfort body make u feel irritable,anger
im afraid already feel slightly place cru say friend bothered reach ask thing going australia,anger
already feeling frantic,fear
feel weird criticizing game much feel weird praising,fear
im feeling little stressed cant much right im waiting couple tax return mail letter jason employer taking quite time,anger
feel comfortable decision,joy
feeling quite disorganised distracted wish could answer question seem unable block forget answer logical answer uuuugh,anger
feeling remotely dignified tasteful comfortable,joy
see feel divine possibility away alone one long golden day last anywhere,joy
heated discussion spouse concerning new house,anger
imagine real life scenario would emotionally connected enough someone feel totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently,joy
feel popular blogger dont post freedom anymore always part control rare exception blog love aesthetic,joy
never fall love anyone feeling make dangerous,anger
written know would make feel shy,fear
still numb question everything feel terrified trust feeling,fear
admit feel shaken,fear
feel scared worthless someone love,fear
forgot take med morning predictably feeling irritable le predictably sitting day thinking ima kill bitch dont get hand chocolate cupcake,anger
somehow feel terrified though dare slow walk place catch breath billy blank jump screen yell face fierceness,fear
felt jealous feel insecure,fear
month medication feel fantastic,joy
think think really feel insecure,fear
occured preparing midterm social welfare thought going hard felt unprepared,fear
feeling energetic strong,joy
really need money right feel like greedy nasty aunt wanting hand everything,anger
entered temple feeling vaguely terrified,fear
feel like rude as hole hookah,anger
sometimes feel like im strange world,fear
never feel popular,joy
going add photo today thank dear support feeling overwhelmed different moment,fear
sure pleasure living open air sky roof ground table part feeling savage returning wild native habit,anger
feel doubtful,fear
get involved tale good versus evil want feel afraid dark certain extent,fear
want talk limited time phone current arrangment feel hesitant bring,fear
feeling really ok,joy
im feeling strangely indecisive also dont really believe,fear
feel like little barbie doll get decorate hated heel thats wear,anger
feel like character precious,joy
admit thought go head feel doubtful time coz im scared,fear
feel doubtful even struggling bit faith even time seem dark feel alone know god,fear
see friend part feel like leaving bedroom could dangerous,anger
still feel expect piece world im afraid come close place expectation upon fear hell disappoint,fear
feel anything strange tugging relieved say least,fear
ive two shot lupron im feeling fine,joy
im already feeling terrific,joy
worked today writing making sure rest house perfect could make feel peaceful sense order pm linda writing always make feel better accomplished,joy
rarely feel hesitant say something sometimes even much,fear
feel like affirmation however petty really need,anger
dont know feeling le paranoid,fear
want feel maybe something feeling convinced nvm state mind due deliberation,joy
hate feeling indecisive thing keep emotion lock key,fear
feel like thing im nervous two kid,fear
feel artist put forth piece work even one agree respected even sake overcoming shackle society norm,joy
feel blessed able leave,joy
remember beauty truly eye beholder people see beautiful compliment statement valuable find person people want kick someone feeling vulnerable,fear
feel fearful,fear
set mind wanting specific item needing specific event specific time find ill end spending want feel pressured constraint,fear
reason wonder confused feel angered say youre selfish say youre cold,anger
im getting thing done really need feel good,joy
im guessing everyone standing feeling timid moving crowd,fear
feel resolved le like smoking lung today obviously happy,joy
would veer feeling utterly terrified utterly disorientated utterly queasy,fear
feeling bit rebellious today,anger
feel rich pas see penny,joy
know day feel distracted,anger
feel energetic fresh great thing eye sight improved lot,joy
actually feel hopeful today,joy
walk whole distance sampled four five stretch came home feel charmed experience,joy
nodded proud decision procure pump feeling slightly smug,joy
cant help feel little jubilant walk arrival gate,joy
hadnt read blog guy feel thrilled know,joy
feel like sociable anymore,joy
feel market somewhat dangerous position trader end wrong side right,anger
feeling quite mellow wanted soft easy look wear beginning cold,joy
feel passionate certain topic love backing position actual knowledge fact instead relying solely opinion,joy
get changed feeling insecure,fear
mostly feeling contentedly terrified,fear
im feeling rather inspired yet low enjoy writing even though may writing morbid thing find way make interesting read,joy
still feel annoyed older sd always sick something mean always,anger
feeling restless quite grounded,fear
feel rewarded useful valuable anyway,joy
feeling reluctant whole day today thing feel like sticking as bench ground heart heart talk favs staring space nothing,fear
might feel bit proud one left wrist turbillion watch made hong kong,joy
guess im feeling little rebellious,anger
difficult time allowing people nice thing without feeling either insulted like debt,anger
feel indecisive whether feel book huckleberry finn censored,fear
im psyched stop thats kind good thing wont feel pressured go see everything hopefully relax focus making fun kid extension make fun,fear
hate feeling im something get scared almost turn around walk away,fear
im relieved feel much like resolved almost nothing actually weird energy cant wait back camp even though ill hacking coughing spluttering day long,joy
feel outraged type thing,anger
begun feel though valuable contribution insight make within network professional,joy
im currently struggling feeling offended drs office worried body heck wrong seriously contemplating getting tube tied normal everyday thing occupy mind given time,anger
cant sleep read happy post go past one picnic day get happy im like james make happy love repeat soon feel jealous,anger
want tell feel disgusted hurt husband way laugh treat grandchild treated husband mum scream stop selfish bastard world revolve around,anger
want recless im feeling uptight put mamma headlock baby right whooooos got crack whooooooooos got crack whooooo got crack who got craaaaaaack,fear
