Tweet_Preprocessed,Intensity Class
rachelkennedy callummay neddonovan jeyylowe jimwaterson dat bell ringing incense consecration,0: neutral or mixed emotional state can be inferred
finding store closing sad awesome everything get bag nothing redbull amp aloe water,1: slightly positive emotional state can be inferred
ebenu stayed youmakes appreciate love worshipingall want worship,1: slightly positive emotional state can be inferred
cant handle rude people doesnt matter job consultant treat people would like treated disapointed,-3: very negative emotional state can be inferred
loss aint loss lesson smile,1: slightly positive emotional state can be inferred
partner new headphone work well bad couldnt hear yelling ft front ironic technology,-2: moderately negative emotional state can be inferred
airishcloudly aaww iam sending virtual hug eonnie care cheer study well,1: slightly positive emotional state can be inferred
worst dream,-2: moderately negative emotional state can be inferred
god favor men woman delight made worthy happiness happiness,1: slightly positive emotional state can be inferred
jeong su easy get along everybody like intimidated like reminds seunghoon,1: slightly positive emotional state can be inferred
someone nicked lunch fridge work roast dinner well fuming,-3: very negative emotional state can be inferred
time burst burstcoin fork,0: neutral or mixed emotional state can be inferred
nearly gop member think higher education ruining country includes gop member higher education degree irony,-1: slightly negative emotional state can be inferred
shojopower yes animated comic book movie,0: neutral or mixed emotional state can be inferred
moment worry lifted grateful,2: moderately positive emotional state can be inferred
lesson kevinhartreal book ill apply life u always choice kev grimey thing happen amp chose optimism,0: neutral or mixed emotional state can be inferred
lost appetite past day swear already lost pound depressing least skinny pride weekend,-3: very negative emotional state can be inferred
hasegawasona big toothy smile wiggle,1: slightly positive emotional state can be inferred
wont rt thing might offend faves bcs im better,0: neutral or mixed emotional state can be inferred
work even hour ive thrown boiling tea everywhere smashed mug smashed milk jug sliced finger open,-3: very negative emotional state can be inferred
mean wanted goat faint wanted see goat faint eclipse,-2: moderately negative emotional state can be inferred
happy home ibiza place thing else mad gaff need find bird wan na start romantic thing,3: very positive emotional state can be inferred
lol funny comedy sarcasm dont care nnme one second later start cry,0: neutral or mixed emotional state can be inferred
melancholy catacomb quickly wandered rue morgue madman,-2: moderately negative emotional state can be inferred
part roof bar driver side stolen grand vitara car let known really disheartening brunei,-2: moderately negative emotional state can be inferred
whenever see day get better better sarcastic,1: slightly positive emotional state can be inferred
kind fucked brother join police academyand im happy im one,-3: very negative emotional state can be inferred
khaojimmy okay awak,0: neutral or mixed emotional state can be inferred
never heard caracaraoranges today tasty highly recommend delicious goodforyou fruit orange,3: very positive emotional state can be inferred
yall dont understand woman wrath real,-2: moderately negative emotional state can be inferred
ugly guy who pleasant geuine happy gt evil attractive guy who bitter coniving superficial,-1: slightly negative emotional state can be inferred
damilolaourlovedboy upsetting people want hurt others cruel world live heartbreaking,-3: very negative emotional state can be inferred
im back twitter madden madden maddenmobile ea nfl espn packer,2: moderately positive emotional state can be inferred
cant get tell offend,-2: moderately negative emotional state can be inferred
woke feeling fresh clear mind thats never happened beforenmorning sober,0: neutral or mixed emotional state can be inferred
joycemeyer mrsglessman day vengeance god comfort mourn console mourn zion give,-2: moderately negative emotional state can be inferred
goal appearance last season mckay holt windass simply horrific get midfield balance sorted team fire,-1: slightly negative emotional state can be inferred
way im always twitter work little alarming,0: neutral or mixed emotional state can be inferred
become place people even timid u baying blood around every corner,0: neutral or mixed emotional state can be inferred
realdonaldtrump way unite country presidental tweet sarcasm,0: neutral or mixed emotional state can be inferred
success isnt accomplish life inspire others inspiration inspire,1: slightly positive emotional state can be inferred
joshuarozenberg oh dear tantrum,-1: slightly negative emotional state can be inferred
dangermclovin well done twin charlii cadance,3: very positive emotional state can be inferred
brown envelope induce panic posttruth,-1: slightly negative emotional state can be inferred
caleb nightmare zombie dream freedom,-1: slightly negative emotional state can be inferred
heart trembling thought itni really dont know love,-1: slightly negative emotional state can be inferred
something awestruck today laughing non subtitle korean variety show,3: very positive emotional state can be inferred
wow included playlist awesome,3: very positive emotional state can be inferred
watched joenbc colbertlateshow amp say im awe hair product using greggutfeld beautiful jealous,3: very positive emotional state can be inferred
work going kill oclock nowhere near,-3: very negative emotional state can be inferred
whenever turn radio hear bob dylan knocking heaven door played assume he died relieved notyet someday,-1: slightly negative emotional state can be inferred
glad posing waited run sun came cause usually run dark morning,0: neutral or mixed emotional state can be inferred
love humid nyc summer sarcasm,1: slightly positive emotional state can be inferred
moon tonight beautiful,1: slightly positive emotional state can be inferred
maritzabuys look wonderful wish cock tho,2: moderately positive emotional state can be inferred
build resentment silence really anyone favor,-2: moderately negative emotional state can be inferred
every time log website view lindsey vonn pic saddened courseness culture,-3: very negative emotional state can be inferred
dont let fear losing greater excitement winning robert kiyosakinnalloutdenimfor kissmarc,0: neutral or mixed emotional state can be inferred
fuck nigga feeling till find nigga im feeling,-1: slightly negative emotional state can be inferred
wengzyjb dont even know na naa koy beautiful nightmare hahahaha ok,1: slightly positive emotional state can be inferred
coffee floor soul grew furious stillness broken little,-2: moderately negative emotional state can be inferred
buddh rohitmhpl indujalali rajnathsingh also wating terrorism willb history one thing kashmir india,0: neutral or mixed emotional state can be inferred
badpostyoongi know fact theyll either ignore fact tiff isnt change cindys background,-1: slightly negative emotional state can be inferred
teamchristine bc tana done provoke tweeting shady shit trying hard bitch begging fight,-3: very negative emotional state can be inferred
virtualalien frightening thing lifennbeyondthesphereofreasonabledoubt,-2: moderately negative emotional state can be inferred
frustration dream left utterly fking furious plus side angry couldnt sleep wrote word minus side still raging,-3: very negative emotional state can be inferred
freakin ai deleted half episode bip accident bachelorinparadise,-2: moderately negative emotional state can be inferred
mad sus hung,1: slightly positive emotional state can be inferred
got woken road sweeper trying sleep,-2: moderately negative emotional state can be inferred
im pale longer wan na laugh smile wan na fucking cry,-3: very negative emotional state can be inferred
head hurting,-3: very negative emotional state can be inferred
please stop ruining depressing meme positivity optimism,0: neutral or mixed emotional state can be inferred
dreamed laughing woke sleep first time without sad face fair enough see dream,3: very positive emotional state can be inferred
itejasmehta qtalker pleasure,2: moderately positive emotional state can be inferred
dog wouldnt stop barking im eight raging headache,-3: very negative emotional state can be inferred
wtf wonderful idea nyouve bought tweet like thats pretty pointless bye bye twat,0: neutral or mixed emotional state can be inferred
got free drpepper vending machine awesome,3: very positive emotional state can be inferred
fangornforest brexit whose customer love imagine hack day sing tune paymaster call dismal,0: neutral or mixed emotional state can be inferred
suddenly dream mine coming true happy,3: very positive emotional state can be inferred
im happy f accepted chromesthesia cbt doctress never called crazy color,3: very positive emotional state can be inferred
laurenwilsn happy birthday gorg good one x,2: moderately positive emotional state can be inferred
thomasewoods would like hear podcast going refuting entire article extra indignation please,0: neutral or mixed emotional state can be inferred
newsbykatherine jonkarl abc guy sound astounded anyone working w trump wh ethicalmoral value,-2: moderately negative emotional state can be inferred
alaina day snap streak,0: neutral or mixed emotional state can be inferred
ncamera weehugs davidyoungpa pa stupidity part proud cultural identity,-2: moderately negative emotional state can be inferred
ehteshamtoi ravishastriofc unfortunate decision player superstar cricketer bcci scared tantrum,-1: slightly negative emotional state can be inferred
kermodemovie shall mooning cheerfully arrives although probably wont president,0: neutral or mixed emotional state can be inferred
scottadamssays broke snap great analysis cnbc,0: neutral or mixed emotional state can be inferred
cnn talking meeting collecting damaging information political figure best release donaldjtrumpjr ironic,-2: moderately negative emotional state can be inferred
cmdrhadfield cnns wolf blitzer call american astronaut dont correct dissapointed,-3: very negative emotional state can be inferred
softytwt hi bby today okay emailed design firm internship im nervous u hows day,-2: moderately negative emotional state can be inferred
happy birthday,2: moderately positive emotional state can be inferred
adsxe actually currently listen song tweeted ironic,1: slightly positive emotional state can be inferred
totally scare upcoming result,-1: slightly negative emotional state can be inferred
chelsea united must furious,-2: moderately negative emotional state can be inferred
interlocutor burst laughing several time answer ever question whether cured,0: neutral or mixed emotional state can be inferred
elegantlywasted chelseaclinton new kennedy american politics sadly mom daughter charming toe nail,0: neutral or mixed emotional state can be inferred
god match dull wimbledon,-3: very negative emotional state can be inferred
cubewatermelon jonkimbel hilarious legit milkshake duck apologizers yes hypothetic milkshake duck,0: neutral or mixed emotional state can be inferred
delete facebook much,-1: slightly negative emotional state can be inferred
rickysnecklace im proud mil keep smiling,2: moderately positive emotional state can be inferred
get trouble codynolove gordonramsay show ufc try find rogers week excitement,3: very positive emotional state can be inferred
sure tequila shot family birthday meal best idea ive ever grim,0: neutral or mixed emotional state can be inferred
made mind nmake new start,0: neutral or mixed emotional state can be inferred
mrjamesob lbc snowflake random funny man never dull moment brilliant,3: very positive emotional state can be inferred
nitashakaul snehakaulkaul beautiful dear thankseverybody know benefit india amp goi done terror attack,0: neutral or mixed emotional state can be inferred
im really pissed fuck good job keeping kid well dont like see sick sad,-3: very negative emotional state can be inferred
twitter day massive critical debate people dont like annoying depressing dull,-3: very negative emotional state can be inferred
im glad baby cant hear im thinking,2: moderately positive emotional state can be inferred
oxandcartuk jamieoliver made quickandeasyfood,1: slightly positive emotional state can be inferred
azizansari finished season masterofnone gifted storyteller charming cinematography hilarious,3: very positive emotional state can be inferred
beautiful pout c,2: moderately positive emotional state can be inferred
best friend driving first time car terrifying,-2: moderately negative emotional state can be inferred
granlundaarne suicide would also help sarcasm,-2: moderately negative emotional state can be inferred
woke still hardly believing happened last night,-2: moderately negative emotional state can be inferred
happy birthday panderific panda iktheorionsound hope amazing day oli love u much ur vids make,3: very positive emotional state can be inferred
cant stand lad put middle finger pic,-2: moderately negative emotional state can be inferred
uksportszone word dont like result poll im packing poll amp taking home pout bbn,1: slightly positive emotional state can be inferred
going nurse learn nice patient person jesus,0: neutral or mixed emotional state can be inferred
today,2: moderately positive emotional state can be inferred
paid arsehole couple new found glory ticket gon na great start birthday weekend,1: slightly positive emotional state can be inferred
shit depressing weather wish travel world living,-3: very negative emotional state can be inferred
johnmayer dsm show sadness,-3: very negative emotional state can be inferred
failure part success cant experience joy success also experiencing failure bethehero success failure joy,1: slightly positive emotional state can be inferred
seriouslooking folk suffer unused smile muscle nn behappy hatersgonnahate,0: neutral or mixed emotional state can be inferred
shooting ever making mistake ever jumped pool shark long time ago relentless resilient,0: neutral or mixed emotional state can be inferred
guess stayed incase someone called never like knew already mistake made,-2: moderately negative emotional state can be inferred
baby im dancing dark,0: neutral or mixed emotional state can be inferred
duane allman died learned appreciate stevie ray vaughan true story blue legend,1: slightly positive emotional state can be inferred
moment look back realise youve selfish horrible judgemental person feelingashamed,-3: very negative emotional state can be inferred
oteraw unhappy unfulfilled,-2: moderately negative emotional state can be inferred
gilmonk maybe stand field scare away crow,-1: slightly negative emotional state can be inferred
really afraid find rather annoying amp amusing,1: slightly positive emotional state can be inferred
jaassiieeeee fall dark side,0: neutral or mixed emotional state can be inferred
denisebatters k theyll get bike ride canal minister sarcasm ornot,0: neutral or mixed emotional state can be inferred
justicewillett lord dont understand tragedy best bring good grom comfort mourn amen,-2: moderately negative emotional state can be inferred
letting go anger key happiness please help let go angry feeling happiness anger,0: neutral or mixed emotional state can be inferred
dont understand ppl save wasp next chance lil dude get gnna sting ur grandma,-2: moderately negative emotional state can be inferred
would think booking holiday youd sat next bloody plane fuming thomsonholidays,-3: very negative emotional state can be inferred
thechicmystique hurting badly cant leave like angry heartless nni promise ill back,-3: very negative emotional state can be inferred
deeply loved someone give strength loving someone deeply give courage lao tzu wedding happy love,2: moderately positive emotional state can be inferred
finally finished term class book sky hawk gilllewis kid tear actually cheering end good read,2: moderately positive emotional state can be inferred
coulda sworn interview vampire hmmmmandela effect anyone ninterviewwithavampire annerice book horror ilovevamps,0: neutral or mixed emotional state can be inferred
quite possibly worst anthem ive ever heard pro sport singer wish deaf asg mlb mlballstargame,-3: very negative emotional state can be inferred
best horror comedy movie anandobrahma taapsee srinivasreddy nd half got throat pain toomuch laugh,2: moderately positive emotional state can be inferred
brettkeeble guess never smartassunit worry,-2: moderately negative emotional state can be inferred
difficulty bracing mind overcome assist cheerfulness exercise assist digestionnchristian nestell bovee quote,0: neutral or mixed emotional state can be inferred
tootaehyung omggg ill bloated wonderful idea ill start tomorrow,2: moderately positive emotional state can be inferred
nothing beautiful smile struggled tear,2: moderately positive emotional state can be inferred
lectricheep well must sting doesnt cnn,0: neutral or mixed emotional state can be inferred
activehours need someone reply back immediately happy getting timely response app help,-2: moderately negative emotional state can be inferred
definitely something happening today solareclipse weird annoyed,-3: very negative emotional state can be inferred
unesco remember spread hatred fakenews internet abuse hashtag spreading arabnationalism,0: neutral or mixed emotional state can be inferred
billmoyershq elderly belong wfamily social system broken egregious meancare shake ala,-2: moderately negative emotional state can be inferred
senronjohnson neomirao thamendmentnow mean regulation like clean air water need right sarcasm,-2: moderately negative emotional state can be inferred
kicchasudeep word sir thank concern,0: neutral or mixed emotional state can be inferred
best girlfriend world blessed,3: very positive emotional state can be inferred
eeeeekkkknproduct launch nim literally buzzingnsingle sachet n nmessage loveyourlifestyle shake,3: very positive emotional state can be inferred
sound rain pretty peaceful youre annoyed mood,-1: slightly negative emotional state can be inferred
swerethebestbecause assimilation didnt mean loss individuality label category becoming obsolete thanksobama sarcasm,0: neutral or mixed emotional state can be inferred
professorf mediaite lawnewz childish temper tantrum left left,-2: moderately negative emotional state can be inferred
gop want exclude preexisting condition irony,-1: slightly negative emotional state can be inferred
soon trailer like view,1: slightly positive emotional state can be inferred
tonight run restless,-1: slightly negative emotional state can be inferred
literally work almost everyday cant wait start pt blessed,3: very positive emotional state can be inferred
oh bentleysystems hast thou done thy configuration despair,-3: very negative emotional state can be inferred
saw guy litter prius ironic,0: neutral or mixed emotional state can be inferred
fuck saw game throne spoiler snapchat u havent saw yet arsehole,-3: very negative emotional state can be inferred
sit back watch amp listen every thedemocrats amp dnc member youll quickly learn victimhood racism amp hatred im woke,-2: moderately negative emotional state can be inferred
beware wrath angry frustrated agile grandma network im sayin objectlesson,-3: very negative emotional state can be inferred
damn im tired hell never get day week anymore wan na call bad lil hr sound good,-2: moderately negative emotional state can be inferred
certain arrogance think thats fine never lose respect others,-1: slightly negative emotional state can be inferred
feel exhausted ni tried good job apparently god see right im weary exist nexist weary misonorotta,-2: moderately negative emotional state can be inferred
never regret anything made smile n positive,3: very positive emotional state can be inferred
cant wait take family picture excited start fun thing baby,2: moderately positive emotional state can be inferred
aglyndwr teapainusa know sentence start look like high school punk would start threat,-2: moderately negative emotional state can be inferred
couple decide ignore everything finish dealing laughter everything background,0: neutral or mixed emotional state can be inferred
amandaholden lovely photo amanda summerhols carefree,2: moderately positive emotional state can be inferred
simon bell disappointed thats big call affirmative team sarcasm pharmed,0: neutral or mixed emotional state can be inferred
im clapping cheering team,3: very positive emotional state can be inferred
one greathorrible moment professor seeing wonderful student leaving university pursue hisher true passion,-2: moderately negative emotional state can be inferred
pessimist complains wind optimist expects change realist adjusts sail,0: neutral or mixed emotional state can be inferred
sick must someone wish punish someone friend insecure lonely miserable vengeful rhoc,-3: very negative emotional state can be inferred
groovy restaurant got cheeseburger fry dont discriminate rating yummy delicious politicallycorrect,2: moderately positive emotional state can be inferred
watched video took troyes concert last year happy little pill im cry miss troyesivan,-2: moderately negative emotional state can be inferred
imagine many ksones cry right getting ticket meanwhile isones dont even get chance go war ticket,-2: moderately negative emotional state can be inferred
marcdeacon happy birthday marc good one xx,2: moderately positive emotional state can be inferred
therocks presidential run bad appearance baywatch neither party need fear run thats ill never get back crap,-3: very negative emotional state can be inferred
finally decided create twitter account dont need social medium life sarcasm,1: slightly positive emotional state can be inferred
sophieathertonn lillynewtonx thats actually awful treat get home tho,-2: moderately negative emotional state can be inferred
theieansquad satanheavenly rap unbearable horrific,-3: very negative emotional state can be inferred
everything order online come looking like piece shit,-3: very negative emotional state can be inferred
mood happy blessing,3: very positive emotional state can be inferred
africa unique tremendous problem war overpopulation starvation tribalism make moving africa forward hard,-2: moderately negative emotional state can be inferred
cant drink day u dont start morning drake get,0: neutral or mixed emotional state can be inferred
boyfriend whole world,0: neutral or mixed emotional state can be inferred
wimbeldon wouldnt great immigrant title britain ironic brexit,0: neutral or mixed emotional state can be inferred
love anxiety sarcasm,0: neutral or mixed emotional state can be inferred
theview joy isnt comedian shes bully fat shaming governor great example shes setting grandson,-2: moderately negative emotional state can be inferred
people always afraid stodgy square would kill rock roll legitimate threat ever child chorus,0: neutral or mixed emotional state can be inferred
good time never fade away smile,1: slightly positive emotional state can be inferred
rgupdate tried english hospital food yak gross,-2: moderately negative emotional state can be inferred
c disarmed equipment suspicion potential accomplice annie leonhart,0: neutral or mixed emotional state can be inferred
outside basically become horror movie gypsy moth take world flitting aggressively aboutnncreaturedoublefeature,-2: moderately negative emotional state can be inferred
people notice saying youre pretty makeup offense namp take note never say dont,-2: moderately negative emotional state can be inferred
supposed arduous interact people im people dont seem struggle,-2: moderately negative emotional state can be inferred
banished sadness way somber,0: neutral or mixed emotional state can be inferred
appearance pl goal game per goal thats nearly goal every game crap rooney,1: slightly positive emotional state can be inferred
wdapunisher sgtdangercow battlefield think ncasual audience particularly unhappy server admins server rule,-3: very negative emotional state can be inferred
fall season start today,1: slightly positive emotional state can be inferred
nisalocally cocacolagb thanks love share coke holiday family smile chance win,3: very positive emotional state can be inferred
leviticus nyou shall curse deaf put stumbling block blind shall fear god,0: neutral or mixed emotional state can be inferred
whats worse feeling discouraged finding emoji feeling discouraged,-3: very negative emotional state can be inferred
light shut turn settle main concern,-1: slightly negative emotional state can be inferred
garfieldlineker timcroberts back apology retweeting tweet grammatical error mybad,-2: moderately negative emotional state can be inferred
saw first larsen trap today stressed magpie never ever want see angry distressed wildlife,-3: very negative emotional state can be inferred
strange juxtaposition emotion sense euphoria sense despair,-2: moderately negative emotional state can be inferred
buy whole new computer,-2: moderately negative emotional state can be inferred
think yondu amp crew rocket amp groot jump ego planet start laughing,3: very positive emotional state can be inferred
half hour exo,-2: moderately negative emotional state can be inferred
shoenhead obscuredleg hi wanted wish two happy tuesday,3: very positive emotional state can be inferred
depressed today bitter sweet watching kid go back school made really miss baby im broke backtoschool,-3: very negative emotional state can be inferred
argosonline customer service dreadful phone bill huge get passed person person keep taking money card idiot,-3: very negative emotional state can be inferred
peplamb stevenfurtick comfort mourn console mourn zion give beauty ash oil joy,0: neutral or mixed emotional state can be inferred
awardsdaily look way dont want see q going handle tate murder shudder,-2: moderately negative emotional state can be inferred
u sad upset,-1: slightly negative emotional state can be inferred
think ill eternally irritated lit teacher,-2: moderately negative emotional state can be inferred
listening refugee child barely decade old describe horrific act forced commit terrifying datelinesbs,-2: moderately negative emotional state can be inferred
never relived,3: very positive emotional state can be inferred
omgsh alexis sooooo freaking funny bachelorinparadise pizza segment plus love jazzys friendship,3: very positive emotional state can be inferred
washingtonpost silvajanes awful,-3: very negative emotional state can be inferred
novak seeing ball melon perfect condition wimbledon,0: neutral or mixed emotional state can be inferred
sometimes smile pretend everything okay walk away,0: neutral or mixed emotional state can be inferred
bravotv way watch nyc million dollar listing amp filter fredrikeklundny episode primadonna duckface tantrum,0: neutral or mixed emotional state can be inferred
smilejamtvj clarkecooper dahliaharris looking fab today pleasing artistic eye girlpowertuesday,1: slightly positive emotional state can be inferred
delkrushnic knw temper paaa lol chill dear dont pissed waii else worry u saaa im sorry,-2: moderately negative emotional state can be inferred
chanlfc paulrule nuttall deadlinedaylive everton wed fuming hijacked move relegated full back,-2: moderately negative emotional state can be inferred
disappointed spending outfit meeting boy noselfcontrol nervous,-2: moderately negative emotional state can be inferred
lauramuiruns diamondleague loved cheering kid x,3: very positive emotional state can be inferred
hit blessed,2: moderately positive emotional state can be inferred
chelseanewsyou best luck blue army make u feeling goofy season blue till eternity,1: slightly positive emotional state can be inferred
saikalyjihad rimanjeim best birthy day sexy rima lwish happy life,3: very positive emotional state can be inferred
thomassanders great looking forward next part,3: very positive emotional state can be inferred
like mightve set top car amp shit long gone,-2: moderately negative emotional state can be inferred
man feel like crap today,-3: very negative emotional state can be inferred
paul ehrlich said humanity threat life great news start day could blush would,1: slightly positive emotional state can be inferred
migraine hangover worst thing ever burst,-3: very negative emotional state can be inferred
yes itv loveisland putting angel mikethalassitis back villa best move revenge returnofthemike loveisland hot,1: slightly positive emotional state can be inferred
smile happy smile,3: very positive emotional state can be inferred
sleeping past noon look window see hotel hot tub bliss,1: slightly positive emotional state can be inferred
cant talk incompetent person go one ear irritated nopoint massiveeyeroll,-3: very negative emotional state can be inferred
eclipse angelic blessing,2: moderately positive emotional state can be inferred
need something something must donennyour anxiety amusing nothing done despair,-2: moderately negative emotional state can be inferred
cant wait perform nite crashtestcomedy verns yyc calgary comedy comedian yyccomedy calgarycomedy fun laugh live,3: very positive emotional state can be inferred
jihnwi u literally name u word close prostitute ok oomf,-3: very negative emotional state can be inferred
swish offense mavs nd favorite part dallas barbecue delicious,3: very positive emotional state can be inferred
jesus truth psalm righteous glad rejoice lord done obey shout joy,3: very positive emotional state can be inferred
ive got builder office game make perhaps ill start sketching next game gamedev indiedev,0: neutral or mixed emotional state can be inferred
angrydwarf carolinesandall ruin frigging night night pm mr love ive early bed month dreadful,-3: very negative emotional state can be inferred
dearly beloved avenge rather give place unto wrath written vengeance mine romansv,-1: slightly negative emotional state can be inferred
nobody liked really sarcasm nevergowiththeincrowd theincrowdhasalwaysbeensuspect resisttheincrowd,-2: moderately negative emotional state can be inferred
hollloman nessababbby ajvannozzi half set twin resent,0: neutral or mixed emotional state can be inferred
need help guy survey friend,1: slightly positive emotional state can be inferred
wizkidayo bro u dey burst brain bro need u pls end everything rift btw u nd hommie davido pls bro sake luv,0: neutral or mixed emotional state can be inferred
waitlawrences friend dragged fuck outta,-1: slightly negative emotional state can be inferred
im glad kid dont fuck blac youngsta nigga terrible community,0: neutral or mixed emotional state can be inferred
marker teacheri looked n burst laughing swear kid never take seriously,2: moderately positive emotional state can be inferred
zineetar rusembusa mfarussia hatred fear many russian anything nonrussian sad,-3: very negative emotional state can be inferred
please ruin party nswrl origin blue,-1: slightly negative emotional state can be inferred
im make sure smiling bro,1: slightly positive emotional state can be inferred
men call shy mean reassure im making sure he good investment alla,0: neutral or mixed emotional state can be inferred
timebrew toast tv anyone else get earlydoors mumlife lifewithtoddlers,1: slightly positive emotional state can be inferred
ctafails cta ok driver smile open door drive,-2: moderately negative emotional state can be inferred
blah blah blah kyrie etc cjcboss leaving boston real news devastated celtic fave someonegetmeajerseyteeasap,-2: moderately negative emotional state can be inferred
okay btstwt fun change layout back something goofy domestic usual pls im intimidated rn,0: neutral or mixed emotional state can be inferred
prageru state assisted suicide legal talk intellectual dishonesty stupid left think people irony,-3: very negative emotional state can be inferred
hey die someone please facebook live thing casket wake like ironic sometimes,0: neutral or mixed emotional state can be inferred
could happier life right,3: very positive emotional state can be inferred
programmer wisdom understanding difference getting program run runnable program puppy,0: neutral or mixed emotional state can be inferred
delta kidding delayed pm cancel pilot overtime,-2: moderately negative emotional state can be inferred
sold next batch day,1: slightly positive emotional state can be inferred
desmond asleep called got meeting still answered let vent whole way home sweetness,1: slightly positive emotional state can be inferred
im soooo annoyed wait start morning,-3: very negative emotional state can be inferred
addictedspurs co ok great,0: neutral or mixed emotional state can be inferred
happy birthday olympic great champ jordynwieber,3: very positive emotional state can be inferred
